,locationName,categories,locationAddress,locationCity,locationState,locationZip,locationPhone,openTime,Years In Business
0,The Four's Restaurant & Sports Bar,"['Restaurants', 'Bars', 'Caterers']",166 Canal St,Boston,MA,02114,(617) 830-1204,8:00 am - 10:00 pm,6
1,Carlos Cucina Italiana,"['Restaurants', 'Italian Restaurants', 'Take Out Restaurants']",131 Brighton Ave,Allston,MA,02134,(617) 254-9759,11:00 am - 10:00 pm,45
2,Tiki Island Restaurant,"['Restaurants', 'Asian Restaurants', 'Food & Beverage Consultants']",269 Middlesex Ave,Medford,MA,02155,(781) 391-0477,11:00 am - 10:00 pm,9
3,Aria Trattoria,"['Restaurants', 'Italian Restaurants', 'Take Out Restaurants']",253 Hanover St,Boston,MA,02113,(617) 580-5141,5:00 pm - 10:00 pm,7
4,The Four's Restaurant & Sports Bar,"['Restaurants', 'Caterers', 'Bar & Grills']",166 Canal St,Boston,MA,02114,(617) 720-4455,11:00 am - 12:00 am,44
5,Le's Vietnamese Restaurant,"['Restaurants', 'Family Style Restaurants', 'Japanese Restaurants']",137 Brighton Ave,Allston,MA,02134,(617) 783-2340,9:00 am - 10:30 pm,29
6,Thai Place Restaurant,"['Restaurants', 'Thai Restaurants', 'Take Out Restaurants']",184 Brighton Ave,Allston,MA,02134,(617) 782-5782,11:30 am - 10:00 pm,9
7,Grasshopper Vegan Restaurant,"['Restaurants', 'Vegetarian Restaurants', 'Health Food Restaurants']",1 N Beacon St,Allston,MA,02134,(617) 254-8883,11:00 am - 10:00 pm,22
8,Deep Ellum,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",477 Cambridge St,Allston,MA,02134,(617) 787-2337,11:00 am - 2:00 am,14
9,Wing It Inc,"['Restaurants', 'American Restaurants', 'Chicken Restaurants']",1153 Commonwealth Ave,Allston,MA,02134,(617) 783-2473,12:00 pm - 12:00 am,33
10,Shanghai Gate,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",204 Harvard Ave,Allston,MA,02134,(617) 566-7344,11:30 am - 3:00 pm,16
11,The Breakfast Club,"['Restaurants', 'Coffee Shops', 'Breakfast, Brunch & Lunch Restaurants']",270 Western Ave,Allston,MA,02134,(617) 783-1212,6:00 am - 2:00 pm,18
12,Bonchon Chicken,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",123 Brighton Ave,Allston,MA,02134,(617) 254-8888,Open 24 Hours,18
13,Yoma Myanmar Tea Co,"['Restaurants', 'Asian Restaurants']",5 N Beacon St,Allston,MA,02134,(617) 783-1372,4:00 pm - 9:00 pm,13
14,Steve's Kitchen,"['Restaurants', 'Coffee Shops', 'Breakfast, Brunch & Lunch Restaurants']",120 Harvard Ave,Allston,MA,02134,(617) 254-9457,5:00 am - 4:00 pm,36
15,Inbound Pizza,"['Restaurants', 'Pizza', 'Caterers']",1232 Commonwealth Ave,Allston,MA,02134,(617) 566-1617,10:00 am - 11:30 pm,17
16,Shabu Zen,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",80 Brighton Ave,Allston,MA,02134,(617) 782-8888,11:30 am - 11:00 pm,12
17,Blue Asia Co,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",113 Brighton Ave,Allston,MA,02134,(617) 202-3868,11:30 am - 9:30 pm,9
18,Fish Market,"['Restaurants', 'Sushi Bars', 'Fish & Seafood Markets']",170 Brighton Ave,Allston,MA,02134,(617) 783-1268,11:30 am - 10:00 pm,10
19,Seoul Soulongtang,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",1245 Commonwealth Ave,Allston,MA,02134,(617) 505-6771,11:00 am - 10:30 pm,4
20,Asia Wok,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",44 Harvard Ave,Allston,MA,02134,(617) 254-5445,11:00 am - 10:30 pm,16
21,Uno Chicago Grill,"['Restaurants', 'Italian Restaurants', 'Pizza']",1230 Commonwealth Ave,Allston,MA,02134,(617) 739-0034,11:30 am - 12:30 am,
22,Kimchipapi Kitchen,"['Restaurants', 'American Restaurants', 'Japanese Restaurants']",81 Harvard Ave,Allston,MA,02134,(617) 208-8005,12:00 pm - 10:00 pm,
23,Malakungfu Inc,"['Restaurants', 'Chinese Restaurants', 'Japanese Restaurants']",155 Brighton Ave,Allston,MA,02134,(617) 208-8780,11:00 am - 10:30 pm,
24,Scullers Jazz Club,"['Restaurants', 'American Restaurants']",400 Soldiers Field Rd,Allston,MA,02134,(866) 777-8932,5:30 pm - 10:00 pm,31
25,C Fruit Life,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",171 Brighton Ave,Allston,MA,02134,(617) 202-5799,1:00 pm - 11:00 pm,3
26,Arbat Restaurant Inc,"['Restaurants', 'Family Style Restaurants']",20 Linden St Ste 221,Allston,MA,02134,(617) 254-0001,,15
27,Regina Pizzeria,"['Restaurants', 'Pizza', 'Italian Restaurants']",353 Cambridge St,Allston,MA,02134,(617) 783-2300,11:00 am - 12:00 am,10
28,Samurai Restaurant,"['Restaurants', 'Family Style Restaurants']",58 Franklin St,Allston,MA,02134,(617) 423-5000,,
29,Green Room,"['Restaurants', 'American Restaurants']",400 Soldiers Field Rd,Allston,MA,02134,(617) 562-4190,6:00 am - 2:00 pm,15
30,Fusion,"['Restaurants', 'Asian Restaurants']",400 Soldiers Field Rd,Allston,MA,02134,(617) 783-0090,,
31,Pizzawings,"['Restaurants', 'Pizza', 'American Restaurants']",54 Harvard Ave,Allston,MA,02134,(617) 202-3900,,
32,Azama Grill,"['Restaurants', 'Middle Eastern Restaurants', 'Mediterranean Restaurants']",54 Harvard Ave,Allston,MA,02134,(617) 779-0003,11:00 am - 2:00 am,9
33,China Garden Restaurant,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",44 Harvard Ave,Allston,MA,02134,(617) 782-6714,11:00 am - 10:00 pm,
34,Boston Kaju Tofu Restaurant,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",58 Harvard Ave,Allston,MA,02134,(617) 208-8540,10:00 am - 10:00 pm,9
35,Streetfood Revolution,"['Restaurants', 'Asian Restaurants', 'Caterers']",48 Harvard Ave,Allston,MA,02134,(617) 903-4479,11:30 am - 10:30 pm,
36,Geido Sushi,"['Restaurants', 'Sushi Bars', 'Caterers']",1 Brighton Ave,Allston,MA,02134,(617) 987-0135,11:00 am - 9:30 pm,5
37,Isshindou Japanese Ramen,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",1 Brighton Ave,Allston,MA,02134,(617) 987-0192,,2
38,Dolphin Bay,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",72 Brighton Ave,Allston,MA,02134,(617) 562-1668,11:00 pm - 10:00 pm,7
39,New Sushi,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",66 Brighton Ave,Allston,MA,02134,(617) 208-8747,11:30 am - 10:00 pm,2
40,Olitoki,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",76 Brighton Ave,Allston,MA,02134,(617) 202-5038,11:30 am - 10:00 pm,4
41,Shabu Shabu Toki,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",121 Brighton Ave,Allston,MA,02134,(617) 254-8888,,12
42,Panda Spicie Pot Inc,"['Restaurants', 'Asian Restaurants']",129 Brighton Ave,Allston,MA,02134,(617) 254-1839,,
43,Mala,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",129 Brighton Ave,Allston,MA,02134,(617) 254-1839,11:00 am - 11:00 pm,
44,Les Restaurant,"['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",137 Brighton Ave,Allston,MA,02134,(617) 783-2340,9:00 am - 10:30 pm,19
45,Arian Restaurant,"['Restaurants', 'Middle Eastern Restaurants', 'Chinese Restaurants']",129 Brighton Ave,Allston,MA,02134,(617) 208-8072,5:00 am - 10:00 am,5
46,Tokyo City Restaurant,"['Restaurants', 'Family Style Restaurants']",90 Harvard Ave,Allston,MA,02134,(617) 789-3663,,
47,Muygn Dogn,"['Restaurants', 'Korean Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",90 Harvard Ave,Allston,MA,02134,(617) 206-3229,5:00 pm - 11:30 pm,10
48,A@Time Thai Cuisine,"['Restaurants', 'American Restaurants', 'Asian Restaurants']",433 Cambridge St,Allston,MA,02134,(617) 202-5840,11:30 am - 10:00 pm,
49,Lulu's Allston,"['Restaurants', 'American Restaurants', 'Bars']",421 Cambridge St,Allston,MA,02134,(617) 787-1117,11:30 am - 1:00 am,6
50,Kirin Teppanyaki Inc,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",130 Brighton Ave,Allston,MA,02134,(671) 254-0400,11:30 am - 2:00 am,4
51,Rednecks' Roast Beef,"['Restaurants', 'Steak Houses', 'American Restaurants']",140 Brighton Ave,Allston,MA,02134,(617) 782-9444,10:30 am - 3:00 am,
52,Totto Ramen,"['Restaurants', 'Japanese Restaurants', 'Vegetarian Restaurants']",169 Brighton Ave,Allston,MA,02134,(617) 202-5075,5:00 pm - 10:00 pm,6
53,Korean Garden Restaurant,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",122 Harvard Ave,Allston,MA,02134,(617) 562-8288,11:30 am - 10:00 pm,12
54,Coreanos,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",172 Brighton Ave,Allston,MA,02134,(617) 208-8822,11:30 am - 9:45 pm,34
55,Brazilian Food Restaurant Inc,"['Restaurants', 'Brazilian Restaurants', 'Latin American Restaurants']",174 Brighton Ave,Allston,MA,02134,(617) 782-0254,,
56,Wabora Allston,"['Restaurants', 'Korean Restaurants']",164 Brighton Ave,Allston,MA,02134,(617) 202-5229,,
57,Iron Kitchen,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",164 Brighton Ave,Allston,MA,02134,(617) 202-5229,11:30 am - 10:00 pm,4
58,Dumpling Kingdom,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",137 Harvard Ave,Allston,MA,02134,(617) 562-8888,11:00 am - 2:00 am,4
59,Bibim,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",166 Harvard Ave,Allston,MA,02134,(617) 787-5656,11:30 am - 10:30 pm,7
60,At Union,"['Restaurants', 'Breakfast, Brunch & Lunch Restaurants', 'American Restaurants']",174 Harvard Ave,Allston,MA,02134,(617) 779-0077,7:00 am - 6:00 pm,11
61,Seoul Topokki,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",166 Harvard Ave,Allston,MA,02134,(617) 787-5656,,
62,In House Cafe,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",194 Harvard Ave,Allston,MA,02134,(617) 783-4687,8:00 am - 10:00 pm,13
63,Oppa Sushi,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",185 Harvard Ave,Allston,MA,02134,(617) 202-3808,11:30 am - 11:00 pm,6
64,Daiwa Restaurant,"['Restaurants', 'Asian Restaurants']",204 Harvard Ave,Allston,MA,02134,(617) 566-7344,,
65,Lone Star Taco Bar,"['Restaurants', 'Mexican Restaurants', 'Bars']",479 Cambridge St,Allston,MA,02134,(617) 782-8226,11:00 am - 2:00 am,
66,Whole Heart Provisions,"['Restaurants', 'American Restaurants', 'Caterers']",487 Cambridge St,Allston,MA,02134,(617) 202-5041,11:00 am - 9:00 pm,5
67,Yoma Burmese Restaurant,"['Restaurants', 'Asian Restaurants', 'Family Style Restaurants']",5 N Beacon St,Allston,MA,02134,(617) 783-1372,4:00 pm - 9:00 pm,25
68,Rock City Pizza,"['Restaurants', 'Pizza', 'Italian Restaurants']",568 Cambridge St,Allston,MA,02134,(617) 782-7625,11:00 am - 11:00 pm,14
69,Lilly's Gourmet Pasta Express,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",172 Brighton Ave,Allston,MA,02134,(617) 783-8787,10:00 am - 2:00 am,
70,Color Restaurant,"['Restaurants', 'Asian Restaurants', 'Family Style Restaurants']",166 Harvard Ave,Allston,MA,02134,(617) 787-5656,10:30 am - 11:30 pm,
71,Buk Kyung Restaurant,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",151 Brighton Ave,Allston,MA,02134,(617) 254-2775,11:30 am - 10:30 pm,22
72,Punjab Palace,"['Restaurants', 'Indian Restaurants', 'Asian Restaurants']",109 Brighton Ave,Allston,MA,02134,(617) 254-1500,"11:30 am - 3:00 pm, 5:00 pm - 11:00 pm",13
73,La Befana Pizzeria,"['Restaurants', 'Pizza', 'Italian Restaurants']",15 N Beacon St,Allston,MA,02134,(617) 987-0086,11:00 am - 12:00 am,
74,Ecco Pizzeria,"['Restaurants', 'Italian Restaurants', 'Pizza']",1147 Commonwealth Ave,Allston,MA,02134,(617) 903-4324,9:00 am - 12:00 am,9
75,Allston Diner,"['Restaurants', 'Coffee Shops', 'Take Out Restaurants']",431 Cambridge St,Allston,MA,02134,(617) 208-8741,8:00 am - 3:00 pm,26
76,Hanmaru Restaurant,"['Restaurants', 'Asian Restaurants', 'Korean Restaurants']",168 Harvard Ave,Allston,MA,02134,(617) 779-7907,11:00 am - 10:30 pm,14
