,locationName,categories,locationAddress,locationCity,locationState,locationZip,locationPhone,openTime,Years In Business
77,Big City,"['Restaurants', 'American Restaurants', 'Bars']",138 Brighton Ave,Allston,MA,02134,(617) 782-2020,4:00 pm - 11:30 pm,33
78,Jo Jo Taipei,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",103 Brighton Ave,Allston,MA,02134,(617) 254-8889,11:30 am - 11:30 pm,12
79,Alfredo's Restaurant,"['Restaurants', 'Mediterranean Restaurants', 'Italian Restaurants']",229 Brighton Ave,Allston,MA,02134,(617) 562-8222,10:15 am - 10:00 pm,15
80,C&N Pizza,"['Restaurants', 'Restaurant Delivery Service', 'Pizza']",437 Centre St,Newton,MA,02458,(617) 564-4604,10:00 am - 9:00 pm,28
81,Portugalia Restaurante,"['Restaurants', 'Mediterranean Restaurants', 'Take Out Restaurants']",723 Cambridge St,Cambridge,MA,02141,(617) 491-5373,12:00 pm - 9:30 pm,16
82,Bagel Rising,"['Restaurants', 'Bagels', 'Bakeries']",1243 Commonwealth Ave,Allston,MA,02134,(617) 789-4000,6:30 am - 10:00 pm,25
83,Cafe Belo,"['Restaurants', 'Coffee Shops', 'Caterers']",181 Brighton Ave,Allston,MA,02134,(617) 782-4984,,
84,Model Cafe,"['Restaurants', 'Coffee Shops']",7 N Beacon St,Allston,MA,02134,(617) 254-9365,7:00 pm - 2:00 am,32
85,May's Cafe,"['Restaurants', 'Coffee Shops']",95 Glenville Ave,Allston,MA,02134,(617) 782-1688,,
86,El Cafetal,"['Restaurants', 'Latin American Restaurants', 'Caterers']",479 Cambridge St,Allston,MA,02134,(617) 789-4009,11:00 am - 9:30 pm,
87,Bravo Pizza,"['Restaurants', 'Pizza', 'Caterers']",160 Brighton Ave,Allston,MA,02134,(617) 782-0882,11:00 am - 2:00 am,
88,Charlie's Pizza Cafe,"['Restaurants', 'Pizza', 'Caterers']",177 Allston St,Allston,MA,02134,(617) 277-3737,10:00 am - 12:00 am,19
89,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",209 N Harvard St,Allston,MA,02134,(617) 254-5475,5:00 am - 12:00 am,34
90,Mixx Frozen Yogurt,"['Restaurants', 'Yogurt', 'Dessert Restaurants']",66 Brighton Ave,Allston,MA,02134,(617) 782-6499,12:00 pm - 11:00 pm,
91,Infusions Tea Spa,"['Restaurants', 'Tea Rooms', 'Coffee Shops']",110 Brighton Ave,Allston,MA,02134,(617) 254-1122,12:00 pm - 11:00 pm,18
92,The Big A Pizzeria,"['Restaurants', 'Pizza']",568 Cambridge St,Allston,MA,02134,(617) 782-1222,11:00 am - 9:30 pm,17
93,Natalie's Pizzeria,"['Restaurants', 'Pizza', 'Delicatessens']",1312 Commonwealth Ave # A,Allston,MA,02134,(617) 277-7662,10:00 am - 3:00 am,11
94,Alston Village,"['Restaurants', 'Pizza', 'Delicatessens']",2 Brighton Ave,Allston,MA,02134,(617) 783-1156,11:00 am - 1:00 am,
95,International Pizza & Sub,"['Restaurants', 'Pizza', 'Delicatessens']",136 Harvard Ave,Allston,MA,02134,(617) 783-5830,,25
96,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",219 Cambridge St,Allston,MA,02134,(617) 787-1608,5:00 am - 11:00 pm,70
97,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",179 Brighton Ave,Allston,MA,02134,(617) 787-3462,5:00 am - 8:00 pm,38
98,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",210 Harvard Ave,Allston,MA,02134,(617) 232-3402,5:00 am - 12:00 am,16
99,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",60 Everett St,Allston,MA,02134,(617) 779-1608,7:30 am - 6:00 pm,
100,Dunkin',"['Restaurants', 'Donut Shops', 'Bagels']",509 Cambridge St,Allston,MA,02134,(617) 254-0798,Open 24 Hours,13
101,Our Fathers,"['Restaurants', 'Delicatessens']",197 N Harvard St,Allston,MA,02134,(617) 303-0101,10:30 am - 10:00 pm,
102,Kung Fu Tea,['Restaurants'],1 Brighton Ave,Allston,MA,02134,(617) 987-0024,11:00 am - 9:30 pm,
103,Starbucks Coffee,"['Restaurants', 'Coffee & Espresso Restaurants', 'Coffee Shops']",1304 Commonwealth Ave,Allston,MA,02134,(617) 566-1074,,49
104,Swissbakers Inc,"['Restaurants', 'Coffee & Espresso Restaurants', 'Caterers']",168 Western Ave,Allston,MA,02134,(617) 903-3113,7:00 am - 5:00 pm,12
105,Captain Fishbones,['Restaurants'],353 Cambridge St,Allston,MA,02134,(617) 783-2300,,
106,Stone Hearth Pizza,"['Restaurants', 'Pizza', 'Take Out Restaurants']",182 Western Ave,Allston,MA,02134,(617) 903-4680,11:30 am - 9:00 pm,7
107,Beatrice Cafe,['Restaurants'],182 Western Ave,Allston,MA,02134,(617) 903-3471,,1
108,Avana Sushi 2 Jindo,"['Restaurants', 'Sushi Bars']",58 Franklin St,Allston,MA,02134,(617) 482-1951,,
109,Boat House Grill,['Restaurants'],400 Soldiers Field Rd,Allston,MA,02134,(617) 783-0090,11:00 am - 9:00 pm,
110,@Union,['Restaurants'],174 N Harvard St,Allston,MA,02134,(617) 779-8600,,
111,Pikliz International Kitchen,['Restaurants'],174 N Harvard St,Allston,MA,02134,(617) 779-8600,,
112,Dok Bua Thai Kitchen,['Restaurants'],174 N Harvard St,Allston,MA,02134,(617) 779-8600,,
113,Souper Bowl,['Restaurants'],1 Brighton Ave,Allston,MA,02134,(617) 987-0210,,4
114,Silk Road Express,['Restaurants'],1 Brighton Ave,Allston,MA,02134,(617) 987-0121,,1
115,Innaka Corporation,['Restaurants'],72 Brighton Ave,Allston,MA,02134,(617) 562-1668,,8
116,Pizza Days,"['Restaurants', 'Pizza', 'Caterers']",111 Brighton Ave,Allston,MA,02134,(617) 787-7992,4:00 pm - 3:00 am,
117,Bagels & Desserts Land,['Restaurants'],111 Brighton Ave,Allston,MA,02134,(617) 787-7992,4:00 pm - 3:15 am,
118,Pot Bar,['Restaurants'],70 Brighton Ave,Allston,MA,02134,(617) 208-8092,,
119,Tarboosh,"['Restaurants', 'Mediterranean Restaurants', 'Pizza']",2 Brighton Ave,Allston,MA,02134,(617) 671-5939,12:00 pm - 2:00 am,27
120,Ariana,"['Restaurants', 'Middle Eastern Restaurants']",129 Brighton Ave,Allston,MA,02134,(617) 208-8072,5:00 pm - 10:00 pm,
121,Chicken and Rice Guys,"['Restaurants', 'Middle Eastern Restaurants']",81 Harvard Ave,Allston,MA,02134,(617) 903-3317,11:00 am - 10:00 pm,8
122,Next Door Cafe,"['Restaurants', 'Coffee & Espresso Restaurants', 'Coffee Shops']",110 Brighton Ave,Allston,MA,02134,(617) 254-1122,11:00 am - 9:30 pm,
123,Refuge Cafe,"['Restaurants', 'Coffee Shops', 'Continental Restaurants']",155 Brighton Ave,Allston,MA,02134,(617) 202-5409,7:00 am - 6:30 pm,9
124,Hi B3ar,"['Restaurants', 'Ice Cream & Frozen Desserts']",147 Brighton Ave,Allston,MA,02134,(617) 208-8216,11:30 am - 11:00 pm,4
125,Grain & Salt,['Restaurants'],431 Cambridge St,Allston,MA,02134,(617) 254-3373,11:00 am - 10:00 pm,
126,Privus Sushi Lounge,['Restaurants'],165 Brighton Ave,Allston,MA,02134,(617) 787-7483,,
127,Patrons,"['Restaurants', 'Mexican Restaurants', 'Caterers']",138 Brighton Ave,Allston,MA,02134,(617) 782-2020,5:00 pm - 10:00 pm,
128,Sushi Factory,"['Restaurants', 'Sushi Bars']",140 Brighton Ave,Allston,MA,02134,(617) 254-7000,11:30 am - 10:00 pm,
129,YoYo City Frozen Yogurt,"['Restaurants', 'Yogurt']",169 Brighton Ave,Allston,MA,02134,(617) 903-4441,12:00 pm - 12:00 am,
130,Habanero Mexican Grill,"['Restaurants', 'Mexican Restaurants']",166 Brighton Ave,Allston,MA,02134,(617) 254-0299,8:00 am - 11:00 pm,
131,DO Sabor Brasil,"['Restaurants', 'Brazilian Restaurants', 'Latin American Restaurants']",174 Brighton Ave,Allston,MA,02134,(617) 782-0254,11:00 am - 10:00 pm,6
132,Wan's Deli,['Restaurants'],172 Brighton Ave,Allston,MA,02134,(617) 783-8787,,
133,K Town Chicken,"['Restaurants', 'Chicken Restaurants']",136 Harvard Ave,Allston,MA,02134,(617) 337-3500,11:30 am - 11:00 pm,6
134,Gitlos Dim Sum Bakery,['Restaurants'],164 Brighton Ave,Allston,MA,02134,(617) 782-2253,,
135,Chic Chick,['Restaurants'],164 Brighton Ave,Allston,MA,02134,(617) 903-3164,11:30 am - 3:00 pm,
136,Namaste,['Restaurants'],277 Western Ave,Allston,MA,02134,(617) 945-9597,,
137,Asiana,['Restaurants'],137 Harvard Ave,Allston,MA,02134,(617) 562-8888,,
138,Ya Lai Xi Corporation,['Restaurants'],152 Harvard Ave,Allston,MA,02134,(617) 787-1069,,6
139,Tour Les Jours,"['Restaurants', 'French Restaurants']",152 Harvard Ave,Allston,MA,02134,(617) 787-1069,,1
140,Sweet Kingdom,['Restaurants'],145 Harvard Ave,Allston,MA,02134,(617) 782-0968,1:00 pm - 11:30 pm,5
141,Thai Palace,['Restaurants'],184 Brighton Ave,Allston,MA,02134,(617) 782-5732,,
142,S and J Crepes Inc,"['Restaurants', 'French Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",154 Harvard Ave,Allston,MA,02134,(617) 202-5539,,10
143,The Spot,['Restaurants'],154 Harvard Ave,Allston,MA,02134,(617) 208-8172,,
144,Between Hours,['Restaurants'],154 Harvard Ave,Allston,MA,02134,(617) 202-6312,,
145,Grill Station,['Restaurants'],180 Brighton Ave,Allston,MA,02134,(617) 787-5155,11:00 am - 10:00 pm,
146,Amelia's Taqueria,"['Restaurants', 'Mexican Restaurants', 'Caterers']",180 Brighton Ave,Allston,MA,02134,(617) 787-7672,7:00 am - 11:00 pm,
147,Gns Street Food,['Restaurants'],182 Brighton Ave,Allston,MA,02134,(617) 208-8008,,
148,All Meal Deals,['Restaurants'],214 Lincoln St,Allston,MA,02134,(617) 206-4580,,
149,Cafe Pizzarelli Inc,"['Restaurants', 'Coffee Shops', 'Pizza']",192 Brighton Ave,Allston,MA,02134,(617) 903-4367,,
150,Hyong Bong Kim,['Restaurants'],182 Harvard Ave,Allston,MA,02134,(617) 208-8791,,3
151,Bethlehem To Go,"['Restaurants', 'Take Out Restaurants', 'Fast Food Restaurants']",136 Harvard Ave,Allston,MA,02134,(617) 208-8937,,1
152,Five Guys,"['Restaurants', 'Hamburgers & Hot Dogs', 'Fast Food Restaurants']",1223 Commonwealth Ave,Allston,MA,02134,(617) 487-5495,11:00 am - 10:00 pm,
153,Sunset Grill and Tap,"['Restaurants', 'Bar & Grills', 'Bars']",130 Brighton Ave,Allston,MA,02134,(617) 254-1331,11:30 am - 10:00 am,33
154,Wonder Bar,"['Restaurants', 'Bar & Grills', 'Bars']",186 Harvard Ave,Allston,MA,02134,(617) 351-2665,5:00 pm - 2:00 am,15
155,White Horse Tavern,"['Restaurants', 'Taverns', 'Bars']",116 Brighton Ave,Allston,MA,02134,(617) 254-6633,11:30 am - 2:00 am,23
156,Common Ground,"['Restaurants', 'Bar & Grills', 'Brew Pubs']",85 Harvard Ave,Allston,MA,02134,(617) 783-2071,11:00 am - 11:30 pm,20
157,Great Scott,"['Restaurants', 'Brew Pubs', 'Bar & Grills']",1222 Commonwealth Ave,Allston,MA,02134,(617) 566-9014,12:00 pm - 2:00 am,44
158,O'Briens Pub,"['Restaurants', 'Bar & Grills', 'Bars']",3 Harvard Ave,Allston,MA,02134,(617) 782-6245,7:00 pm - 1:00 am,38
159,Silhouette Lounge,"['Restaurants', 'Brew Pubs', 'Bars']",200 Brighton Ave,Allston,MA,02134,(617) 206-4565,4:00 pm - 1:00 am,9
160,Tavern In The Square,"['Restaurants', 'Taverns', 'Bars']",161 Brighton Ave,Allston,MA,02134,(617) 782-8100,11:30 am - 2:00 am,16
161,The Glenville Stops,"['Restaurants', 'Taverns', 'American Restaurants']",87 Glenville Ave,Allston,MA,02134,(617) 903-3638,5:00 am - 11:00 pm,38
162,Garage Lounge,"['Restaurants', 'Cocktail Lounges', 'Brew Pubs']",20 Linden St,Allston,MA,02134,(857) 268-8003,,7
163,Kinvara Pub,"['Restaurants', 'Bar & Grills']",34 Harvard Ave,Allston,MA,02134,(617) 783-9400,,
164,Bill Ash's Lounge,"['Restaurants', 'Cocktail Lounges', 'Bar & Grills']",78 Boulevard Ter,Allston,MA,02134,(781) 284-1181,11:00 am - 12:00 am,
165,Sheesha Lounge,"['Restaurants', 'Cocktail Lounges', 'Bars']",417 Cambridge St,Allston,MA,02134,(617) 782-7433,6:00 pm - 2:00 am,13
166,The Draft,"['Restaurants', 'Taverns', 'Bars']",34 Harvard Ave,Allston,MA,02134,(617) 783-9400,11:00 am - 11:30 pm,
167,Kells Of Boston,"['Restaurants', 'Night Clubs', 'Bars']",161 Brighton Ave,Allston,MA,02134,(800) 575-9082,,
168,Yi Soon Bakery,"['Restaurants', 'Bakeries']",112 Brighton Ave,Allston,MA,02134,(617) 254-3099,7:00 am - 10:00 pm,18
169,Nile Lounge,"['Restaurants', 'Cocktail Lounges', 'Bars']",70 Brighton Ave,Allston,MA,02134,(617) 202-3011,3:00 pm - 12:00 am,10
170,Habibi's Lounge,"['Restaurants', 'Brew Pubs', 'Bars']",1217a Commonwealth Ave,Allston,MA,02134,(617) 955-2064,4:00 pm - 1:00 pm,12
171,Kung Fu Tea,"['Restaurants', 'Coffee & Tea', 'Coffee Shops']",131 Harvard Ave,Allston,MA,02134,(617) 783-3388,11:00 am - 11:00 pm,
172,Swissbäkers,"['Restaurants', 'Bakeries']",168 Western Ave,Allston,MA,02134,(617) 903-3113,5:30 am - 6:30 pm,
173,Finale Desserterie & Bakery,"['Restaurants', 'Bakeries', 'Ice Cream & Frozen Desserts']",9 Travis St,Allston,MA,02134,(617) 206-9105,,22
174,Chilipa,"['Restaurants', 'Caterers']",1 Brighton Ave,Allston,MA,02134,(617) 987-0118,11:00 am - 9:30 pm,
175,Beard Papa’s,"['Restaurants', 'Pies', 'Wholesale Bakeries']",145 Brighton Ave,Allston,MA,02134,(617) 202-5670,11:00 am - 11:00 pm,
176,Avenue Bar & Grill,"['Restaurants', 'Brew Pubs', 'Bars']",116 Brighton Ave,Allston,MA,02134,(617) 903-3110,,9
177,A Attherate Time,"['Restaurants', 'Caterers']",433 Cambridge St,Allston,MA,02134,(617) 202-5840,4:00 pm - 12:30 am,
178,Padaria Brasil Bakery,"['Restaurants', 'Bakeries']",125 Harvard Ave,Allston,MA,02134,(617) 202-6783,5:30 am - 5:00 pm,3
